local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Orense SC,Cumbayá,2023-05-27,2,3,0.0,0.0,0.7,0.3,12.0,12.0,3.0,1.0,15,19,5.0,1 - 0
CD Tecnico Universitario,Mushuc Runa SC,2023-05-27,3,1,0.0,1.0,0.31,0.69,18.0,14.0,4.0,3.0,8,6,5.0,1 - 0
LDU de Quito,Delfin,2023-05-08,0,3,0.0,0.0,0.74,0.26,7.0,10.0,6.0,2.0,5,9,3.0,1 - 1
Universidad Catolica,Deportivo Cuenca,2023-05-06,3,4,0.0,1.0,0.58,0.42,19.0,13.0,5.0,3.0,13,10,8.0,1 - 0
Aucas,Universidad Catolica,2023-03-19,4,3,0.0,1.0,0.46,0.54,14.0,12.0,6.0,9.0,12,13,8.0,4 - 1
El Nacional,CD Tecnico Universitario,2023-03-04,6,4,0.0,0.0,0.42,0.58,12.0,9.0,4.0,5.0,2,8,10.0,3 - 2
Independiente del Valle,Mushuc Runa SC,2023-02-25,2,2,0.0,0.0,0.61,0.39,15.0,14.0,5.0,2.0,7,6,4.0,3 - 1
Independiente del Valle,LDU de Quito,2024-12-14,3,6,0.0,0.0,0.73,0.27,11.0,14.0,7.0,2.0,7,5,9.0,1 - 0
LDU de Quito,Independiente del Valle,2024-12-07,1,0,0.0,0.0,0.41,0.59,11.0,8.0,6.0,2.0,5,7,1.0,3 - 0
LDU de Quito,Deportivo Cuenca,2024-12-01,0,2,0.0,0.0,0.48,0.52,10.0,7.0,6.0,1.0,5,10,2.0,5 - 0
El Nacional,CD Tecnico Universitario,2024-12-01,6,1,1.0,0.0,0.37,0.63,25.0,11.0,4.0,4.0,2,8,8.0,2 - 1
Barcelona SC,Mushuc Runa SC,2024-12-01,3,3,0.0,0.0,0.65,0.35,11.0,14.0,4.0,3.0,0,6,6.0,2 - 2
Orense SC,Independiente del Valle,2024-12-01,2,2,0.0,0.0,0.34,0.66,8.0,21.0,2.0,7.0,15,7,4.0,0 - 0
Imbabura,Aucas,2024-11-30,3,4,0.0,0.0,0.53,0.47,15.0,13.0,8.0,6.0,21,12,7.0,1 - 2
Libertad,Emelec,2024-11-30,3,3,0.0,0.0,0.4,0.6,13.0,11.0,7.0,5.0,20,4,6.0,2 - 1
Delfin,Cumbayá,2024-11-30,2,0,0.0,0.0,0.0,0.0,16.0,13.0,12.0,11.0,9,19,2.0,6 - 4
CSD Macara,Universidad Catolica,2024-11-30,3,1,0.0,0.0,0.56,0.43,11.0,14.0,3.0,5.0,14,13,4.0,1 - 2
Independiente del Valle,CSD Macara,2024-11-24,0,1,0.0,0.0,0.71,0.28,7.0,11.0,10.0,2.0,7,14,1.0,7 - 0
Universidad Catolica,LDU de Quito,2024-11-24,1,1,0.0,1.0,0.66,0.34,5.0,20.0,9.0,4.0,13,5,3.0,2 - 4
Aucas,Delfin,2024-11-24,3,2,0.0,0.0,0.64,0.36,9.0,4.0,8.0,1.0,12,9,5.0,2 - 0
Mushuc Runa SC,El Nacional,2024-11-24,1,3,0.0,0.0,0.53,0.47,15.0,18.0,5.0,5.0,6,2,4.0,2 - 2
Cumbayá,Orense SC,2024-11-23,2,3,0.0,0.0,0.44,0.56,10.0,14.0,9.0,6.0,19,15,5.0,2 - 2
Deportivo Cuenca,Libertad,2024-11-23,2,2,0.0,0.0,0.54,0.46,19.0,14.0,1.0,4.0,10,20,4.0,1 - 1
CD Tecnico Universitario,Barcelona SC,2024-11-23,3,1,0.0,0.0,0.54,0.46,19.0,5.0,8.0,6.0,8,0,4.0,2 - 2
Imbabura,Deportivo Cuenca,2024-11-11,4,4,0.0,0.0,0.56,0.44,18.0,17.0,4.0,2.0,21,10,8.0,0 - 2
Barcelona SC,Cumbayá,2024-11-10,0,2,0.0,0.0,0.57,0.42,17.0,17.0,12.0,5.0,0,19,2.0,8 - 1
Orense SC,CD Tecnico Universitario,2024-11-10,2,3,0.0,1.0,0.57,0.43,8.0,18.0,4.0,4.0,15,8,6.0,0 - 2
El Nacional,Libertad,2024-11-10,3,0,0.0,0.0,0.55,0.45,11.0,17.0,5.0,6.0,2,20,3.0,1 - 4
LDU de Quito,Independiente del Valle,2024-11-09,0,4,0.0,0.0,0.38,0.62,10.0,7.0,4.0,4.0,5,7,4.0,2 - 1
CSD Macara,Emelec,2024-11-09,3,3,0.0,0.0,0.5,0.5,13.0,13.0,5.0,1.0,14,4,6.0,1 - 1
Universidad Catolica,Aucas,2024-11-09,0,0,0.0,0.0,0.51,0.49,12.0,15.0,3.0,4.0,13,12,0.0,3 - 2
Delfin,Mushuc Runa SC,2024-11-08,4,4,0.0,0.0,0.48,0.52,17.0,16.0,4.0,6.0,9,6,8.0,4 - 2
CD Tecnico Universitario,Universidad Catolica,2024-11-04,2,6,0.0,0.0,0.4,0.6,11.0,13.0,5.0,1.0,8,13,8.0,2 - 0
Emelec,LDU de Quito,2024-11-03,6,4,0.0,0.0,0.51,0.49,16.0,13.0,3.0,8.0,4,5,10.0,0 - 1
Independiente del Valle,El Nacional,2024-11-03,2,3,0.0,0.0,0.61,0.39,7.0,12.0,6.0,0.0,7,2,5.0,2 - 0
Mushuc Runa SC,CSD Macara,2024-11-03,3,1,0.0,0.0,0.53,0.47,17.0,8.0,4.0,5.0,6,14,4.0,2 - 1
Aucas,Barcelona SC,2024-11-02,0,1,2.0,1.0,0.53,0.47,14.0,9.0,6.0,2.0,12,0,4.0,1 - 1
Libertad,Imbabura,2024-11-02,4,5,0.0,0.0,0.54,0.46,13.0,18.0,7.0,5.0,20,21,9.0,3 - 1
Cumbayá,Deportivo Cuenca,2024-11-02,5,0,0.0,0.0,0.43,0.56,16.0,10.0,5.0,3.0,19,10,5.0,1 - 0
Orense SC,Delfin,2024-11-01,0,0,0.0,0.0,0.65,0.35,10.0,12.0,9.0,2.0,15,9,0.0,0 - 0
Imbabura,CD Tecnico Universitario,2024-10-28,4,1,2.0,0.0,0.52,0.48,17.0,12.0,1.0,8.0,21,8,7.0,0 - 6
Barcelona SC,Delfin,2024-10-27,1,3,0.0,1.0,0.62,0.38,13.0,11.0,13.0,1.0,0,9,5.0,4 - 0
El Nacional,Orense SC,2024-10-27,0,1,0.0,0.0,0.64,0.36,7.0,12.0,4.0,2.0,2,15,1.0,0 - 1
CSD Macara,Cumbayá,2024-10-27,3,1,0.0,0.0,0.48,0.52,13.0,9.0,5.0,2.0,14,19,4.0,1 - 1
Universidad Catolica,Emelec,2024-10-26,1,1,0.0,0.0,0.53,0.47,12.0,18.0,6.0,2.0,13,4,2.0,2 - 0
Libertad,Aucas,2024-10-26,2,2,0.0,0.0,0.0,0.0,19.0,17.0,4.0,5.0,20,12,4.0,1 - 1
Deportivo Cuenca,Independiente del Valle,2024-10-25,1,1,0.0,0.0,0.55,0.45,6.0,12.0,6.0,6.0,10,7,2.0,0 - 2
Delfin,El Nacional,2024-10-20,3,0,0.0,0.0,0.44,0.56,13.0,8.0,2.0,3.0,9,2,3.0,1 - 1
Aucas,CSD Macara,2024-10-20,3,2,0.0,0.0,0.56,0.43,8.0,9.0,6.0,4.0,12,14,5.0,3 - 1
Independiente del Valle,Imbabura,2024-10-19,2,2,1.0,0.0,0.46,0.54,9.0,14.0,4.0,2.0,7,21,5.0,3 - 1
CD Tecnico Universitario,LDU de Quito,2024-10-19,2,3,0.0,1.0,0.52,0.48,11.0,12.0,2.0,3.0,8,5,6.0,1 - 2
Mushuc Runa SC,Deportivo Cuenca,2024-10-19,3,4,0.0,0.0,0.35,0.65,13.0,8.0,5.0,4.0,6,10,7.0,1 - 1
Orense SC,Libertad,2024-10-18,2,1,0.0,0.0,0.59,0.41,8.0,19.0,5.0,2.0,15,20,3.0,1 - 0
Cumbayá,Universidad Catolica,2024-10-18,0,2,0.0,0.0,0.38,0.62,12.0,19.0,4.0,6.0,19,13,2.0,1 - 1
CSD Macara,Delfin,2024-10-07,1,1,0.0,0.0,0.61,0.39,10.0,6.0,2.0,2.0,14,9,2.0,0 - 2
Emelec,Aucas,2024-10-06,2,4,0.0,0.0,0.63,0.37,12.0,15.0,3.0,0.0,4,12,6.0,0 - 0
LDU de Quito,Orense SC,2024-10-06,1,3,0.0,0.0,0.48,0.52,17.0,8.0,6.0,0.0,5,15,4.0,2 - 0
Universidad Catolica,Imbabura,2024-10-06,2,2,0.0,0.0,0.57,0.42,9.0,9.0,8.0,3.0,13,21,4.0,2 - 1
El Nacional,Barcelona SC,2024-10-05,4,1,1.0,0.0,0.39,0.61,17.0,14.0,2.0,5.0,2,0,6.0,3 - 0
Deportivo Cuenca,CD Tecnico Universitario,2024-10-05,2,2,0.0,0.0,0.55,0.45,8.0,21.0,4.0,6.0,10,8,4.0,1 - 1
Mushuc Runa SC,Independiente del Valle,2024-10-05,2,3,1.0,0.0,0.27,0.73,21.0,8.0,5.0,9.0,6,7,6.0,1 - 1
Libertad,Cumbayá,2024-10-04,4,0,0.0,0.0,0.49,0.51,22.0,15.0,3.0,4.0,20,19,4.0,2 - 1
CD Tecnico Universitario,Mushuc Runa SC,2024-09-30,6,5,0.0,0.0,0.49,0.51,18.0,30.0,4.0,6.0,8,6,11.0,2 - 2
Barcelona SC,Libertad,2024-09-29,1,0,0.0,0.0,0.69,0.31,12.0,16.0,2.0,1.0,0,20,1.0,0 - 0
Delfin,LDU de Quito,2024-09-29,0,4,0.0,0.0,0.53,0.47,11.0,18.0,11.0,4.0,9,5,4.0,3 - 2
Aucas,Deportivo Cuenca,2024-09-29,2,2,0.0,0.0,0.61,0.39,9.0,6.0,6.0,5.0,12,10,4.0,1 - 4
Cumbayá,Emelec,2024-09-28,4,1,0.0,0.0,0.39,0.61,11.0,13.0,5.0,5.0,19,4,5.0,1 - 0
Independiente del Valle,Universidad Catolica,2024-09-28,1,0,0.0,1.0,0.61,0.39,8.0,9.0,10.0,4.0,7,13,2.0,5 - 2
Imbabura,El Nacional,2024-09-28,1,2,0.0,0.0,0.61,0.39,13.0,10.0,4.0,2.0,21,2,3.0,1 - 0
Orense SC,CSD Macara,2024-09-27,4,4,0.0,2.0,0.64,0.36,13.0,20.0,4.0,3.0,15,14,10.0,1 - 0
CSD Macara,Imbabura,2024-09-22,2,3,0.0,1.0,0.44,0.56,7.0,11.0,2.0,4.0,14,21,6.0,2 - 0
Deportivo Cuenca,Barcelona SC,2024-09-21,2,5,0.0,0.0,0.39,0.61,11.0,13.0,2.0,3.0,10,0,7.0,1 - 0
LDU de Quito,El Nacional,2024-09-21,3,5,1.0,0.0,0.62,0.38,17.0,8.0,6.0,2.0,5,2,9.0,1 - 1
Cumbayá,Aucas,2024-09-21,0,2,0.0,0.0,0.48,0.52,11.0,15.0,1.0,8.0,19,12,2.0,0 - 3
Libertad,Independiente del Valle,2024-09-20,2,3,0.0,1.0,0.38,0.62,19.0,12.0,4.0,3.0,20,7,6.0,1 - 1
CD Tecnico Universitario,Libertad,2024-09-16,3,2,0.0,1.0,0.51,0.49,17.0,10.0,5.0,1.0,8,20,6.0,3 - 0
Barcelona SC,CSD Macara,2024-09-15,2,2,0.0,0.0,0.64,0.36,10.0,9.0,7.0,5.0,0,14,4.0,2 - 1
Aucas,Mushuc Runa SC,2024-09-15,2,3,0.0,0.0,0.61,0.39,17.0,16.0,4.0,8.0,12,6,5.0,1 - 2
El Nacional,Cumbayá,2024-09-15,2,2,0.0,1.0,0.52,0.48,22.0,12.0,4.0,1.0,2,19,5.0,2 - 1
Independiente del Valle,Emelec,2024-09-14,3,4,1.0,1.0,0.72,0.28,13.0,15.0,12.0,2.0,7,4,9.0,2 - 1
Imbabura,LDU de Quito,2024-09-14,3,1,1.0,0.0,0.38,0.62,10.0,9.0,9.0,3.0,21,5,5.0,4 - 0
Delfin,Deportivo Cuenca,2024-09-14,0,3,0.0,0.0,0.5,0.5,11.0,12.0,4.0,2.0,9,10,3.0,0 - 0
Orense SC,Universidad Catolica,2024-09-13,1,4,0.0,0.0,0.43,0.56,18.0,21.0,4.0,3.0,15,13,5.0,2 - 2
Cumbayá,Imbabura,2024-09-02,1,3,1.0,0.0,0.36,0.64,10.0,19.0,3.0,6.0,19,21,5.0,1 - 2
Emelec,Orense SC,2024-09-01,1,4,0.0,0.0,0.55,0.45,15.0,13.0,5.0,0.0,4,15,5.0,2 - 1
Aucas,Independiente del Valle,2024-09-01,2,0,0.0,0.0,0.43,0.56,9.0,9.0,3.0,7.0,12,7,2.0,0 - 2
CSD Macara,CD Tecnico Universitario,2024-09-01,2,2,0.0,0.0,0.43,0.56,14.0,10.0,5.0,6.0,14,8,4.0,0 - 0
LDU de Quito,Barcelona SC,2024-08-31,4,3,0.0,0.0,0.43,0.56,21.0,13.0,6.0,3.0,5,0,7.0,3 - 0
Libertad,Delfin,2024-08-31,0,2,0.0,1.0,0.62,0.38,10.0,7.0,10.0,5.0,20,9,3.0,2 - 0
Deportivo Cuenca,El Nacional,2024-08-31,2,4,0.0,0.0,0.61,0.39,12.0,23.0,8.0,7.0,10,2,6.0,1 - 2
Universidad Catolica,Mushuc Runa SC,2024-08-30,3,3,0.0,0.0,0.54,0.46,14.0,14.0,7.0,4.0,13,6,6.0,5 - 1
Barcelona SC,Universidad Catolica,2024-08-25,3,1,0.0,0.0,0.36,0.64,16.0,10.0,1.0,4.0,0,13,4.0,1 - 0
LDU de Quito,Libertad,2024-08-25,0,4,1.0,1.0,0.62,0.38,16.0,12.0,8.0,2.0,5,20,6.0,3 - 0
Independiente del Valle,CD Tecnico Universitario,2024-08-25,2,3,0.0,0.0,0.65,0.35,10.0,9.0,6.0,2.0,7,8,5.0,1 - 0
Delfin,Emelec,2024-08-24,3,2,0.0,1.0,0.56,0.44,20.0,8.0,2.0,3.0,9,4,6.0,0 - 1
El Nacional,Aucas,2024-08-24,2,3,0.0,0.0,0.41,0.59,6.0,12.0,2.0,2.0,2,12,5.0,0 - 0
Mushuc Runa SC,Cumbayá,2024-08-24,3,1,0.0,0.0,0.5,0.5,20.0,23.0,5.0,3.0,6,19,4.0,0 - 0
CSD Macara,Deportivo Cuenca,2024-08-23,1,5,0.0,0.0,0.34,0.66,16.0,12.0,3.0,3.0,14,10,6.0,3 - 1
CD Tecnico Universitario,Delfin,2024-08-19,1,1,0.0,0.0,0.66,0.34,10.0,10.0,6.0,2.0,8,9,2.0,0 - 1
Emelec,El Nacional,2024-08-18,3,4,0.0,0.0,0.77,0.23,10.0,20.0,4.0,0.0,4,2,7.0,0 - 1
Deportivo Cuenca,Universidad Catolica,2024-08-18,2,1,0.0,0.0,0.53,0.47,10.0,18.0,1.0,5.0,10,13,3.0,1 - 2
Imbabura,Mushuc Runa SC,2024-08-18,0,1,0.0,0.0,0.56,0.43,11.0,11.0,6.0,7.0,21,6,1.0,2 - 3
Orense SC,Barcelona SC,2024-08-17,2,3,0.0,1.0,0.41,0.59,17.0,14.0,6.0,4.0,15,0,6.0,3 - 2
Aucas,LDU de Quito,2024-08-17,3,2,0.0,0.0,0.57,0.42,6.0,13.0,3.0,4.0,12,5,5.0,0 - 1
Cumbayá,Independiente del Valle,2024-08-17,3,2,0.0,0.0,0.26,0.74,8.0,15.0,1.0,10.0,19,7,5.0,1 - 3
Libertad,CSD Macara,2024-08-16,2,2,0.0,0.0,0.53,0.47,11.0,18.0,4.0,3.0,20,14,4.0,0 - 1
CD Tecnico Universitario,Aucas,2024-08-12,1,6,0.0,1.0,0.34,0.66,17.0,9.0,6.0,5.0,8,12,8.0,2 - 0
Mushuc Runa SC,Emelec,2024-08-11,1,1,0.0,0.0,0.4,0.6,10.0,9.0,9.0,2.0,6,4,2.0,3 - 0
El Nacional,CSD Macara,2024-08-11,1,1,1.0,0.0,0.52,0.48,10.0,12.0,2.0,4.0,2,14,3.0,1 - 3
Barcelona SC,Independiente del Valle,2024-08-10,4,3,0.0,0.0,0.33,0.67,21.0,11.0,3.0,4.0,0,7,7.0,3 - 2
LDU de Quito,Cumbayá,2024-08-10,1,4,0.0,0.0,0.65,0.35,12.0,8.0,7.0,4.0,5,19,5.0,2 - 1
Universidad Catolica,Libertad,2024-08-10,2,0,0.0,0.0,0.73,0.27,8.0,10.0,5.0,3.0,13,20,2.0,1 - 2
Deportivo Cuenca,Orense SC,2024-08-09,1,4,0.0,0.0,0.6,0.4,10.0,11.0,3.0,7.0,10,15,5.0,1 - 2
Cumbayá,CD Tecnico Universitario,2024-08-05,3,2,0.0,0.0,0.47,0.53,8.0,16.0,1.0,4.0,19,8,5.0,1 - 2
Emelec,Deportivo Cuenca,2024-08-04,2,2,0.0,0.0,0.57,0.42,17.0,12.0,6.0,2.0,4,10,4.0,0 - 1
CSD Macara,LDU de Quito,2024-08-04,3,0,0.0,0.0,0.4,0.6,12.0,7.0,4.0,4.0,14,5,3.0,0 - 4
El Nacional,Universidad Catolica,2024-08-04,2,2,0.0,0.0,0.51,0.49,17.0,11.0,2.0,4.0,2,13,4.0,0 - 2
Independiente del Valle,Delfin,2024-08-03,2,2,1.0,0.0,0.74,0.26,12.0,11.0,9.0,3.0,7,9,5.0,1 - 2
Libertad,Mushuc Runa SC,2024-08-03,1,5,0.0,0.0,0.56,0.43,10.0,23.0,7.0,9.0,20,6,6.0,2 - 2
Orense SC,Aucas,2024-08-02,3,1,0.0,0.0,0.65,0.35,10.0,9.0,8.0,2.0,15,12,4.0,4 - 0
Mushuc Runa SC,Barcelona SC,2024-06-02,3,1,0.0,0.0,0.38,0.62,19.0,12.0,7.0,6.0,6,0,4.0,1 - 0
Independiente del Valle,Orense SC,2024-06-02,2,2,0.0,0.0,0.7,0.3,13.0,6.0,9.0,2.0,7,15,4.0,1 - 0
Deportivo Cuenca,LDU de Quito,2024-06-02,0,1,0.0,0.0,0.59,0.41,7.0,11.0,10.0,5.0,10,5,1.0,2 - 2
Universidad Catolica,CSD Macara,2024-06-02,3,3,0.0,1.0,0.54,0.46,11.0,10.0,5.0,2.0,13,14,7.0,3 - 0
Emelec,Libertad,2024-06-01,2,3,0.0,0.0,0.6,0.4,9.0,9.0,5.0,1.0,4,20,5.0,0 - 0
Cumbayá,Delfin,2024-06-01,1,5,0.0,0.0,0.66,0.34,10.0,15.0,2.0,2.0,19,9,6.0,1 - 0
Aucas,Imbabura,2024-06-01,1,3,0.0,1.0,0.48,0.52,15.0,17.0,5.0,4.0,12,21,5.0,2 - 2
CD Tecnico Universitario,El Nacional,2024-05-31,1,1,0.0,0.0,0.54,0.46,18.0,8.0,3.0,3.0,8,2,2.0,1 - 2
Libertad,Deportivo Cuenca,2024-05-27,4,0,0.0,0.0,0.51,0.49,16.0,15.0,1.0,2.0,20,10,4.0,0 - 0
Orense SC,Cumbayá,2024-05-26,1,1,0.0,0.0,0.6,0.4,15.0,7.0,4.0,2.0,15,19,2.0,1 - 0
El Nacional,Mushuc Runa SC,2024-05-26,0,3,0.0,0.0,0.53,0.47,10.0,7.0,12.0,6.0,2,6,3.0,1 - 0
CSD Macara,Independiente del Valle,2024-05-26,3,2,0.0,0.0,0.27,0.73,8.0,6.0,1.0,10.0,14,7,5.0,0 - 1
LDU de Quito,Universidad Catolica,2024-05-26,6,5,0.0,0.0,0.49,0.51,18.0,16.0,5.0,4.0,5,13,11.0,2 - 1
Delfin,Aucas,2024-05-26,3,2,0.0,1.0,0.34,0.66,18.0,9.0,6.0,3.0,9,12,6.0,2 - 0
Barcelona SC,CD Tecnico Universitario,2024-05-26,1,3,0.0,0.0,0.62,0.38,12.0,13.0,4.0,1.0,0,8,4.0,3 - 0
Imbabura,Emelec,2024-05-24,2,4,0.0,0.0,0.57,0.42,9.0,15.0,7.0,4.0,21,4,6.0,1 - 2
Barcelona SC,LDU de Quito,2024-05-23,0,4,0.0,1.0,0.53,0.47,15.0,16.0,3.0,2.0,0,5,5.0,2 - 0
Mushuc Runa SC,Universidad Catolica,2024-05-22,2,1,0.0,0.0,0.32,0.68,16.0,9.0,6.0,4.0,6,13,3.0,2 - 1
CD Tecnico Universitario,Orense SC,2024-05-20,1,2,0.0,0.0,0.48,0.52,15.0,11.0,5.0,1.0,8,15,3.0,1 - 0
Cumbayá,Barcelona SC,2024-05-19,0,0,0.0,0.0,0.5,0.5,9.0,11.0,4.0,5.0,19,0,0.0,0 - 1
Aucas,Universidad Catolica,2024-05-19,5,6,0.0,0.0,0.5,0.5,6.0,14.0,6.0,5.0,12,13,11.0,2 - 2
Mushuc Runa SC,Delfin,2024-05-19,2,2,0.0,2.0,0.6,0.4,15.0,9.0,10.0,1.0,6,9,6.0,5 - 0
Independiente del Valle,LDU de Quito,2024-05-18,3,3,0.0,0.0,0.62,0.38,18.0,16.0,6.0,4.0,7,5,6.0,1 - 1
Emelec,CSD Macara,2024-05-18,1,0,0.0,0.0,0.73,0.27,20.0,22.0,3.0,8.0,4,14,1.0,0 - 1
Libertad,El Nacional,2024-05-18,2,1,0.0,0.0,0.57,0.42,9.0,17.0,0.0,5.0,20,2,3.0,0 - 2
Deportivo Cuenca,Imbabura,2024-05-17,4,0,0.0,1.0,0.57,0.42,20.0,9.0,8.0,3.0,10,21,5.0,5 - 2
Universidad Catolica,CD Tecnico Universitario,2024-05-13,2,2,0.0,0.0,0.65,0.35,6.0,10.0,5.0,2.0,13,8,4.0,3 - 2
Barcelona SC,Aucas,2024-05-12,4,2,1.0,0.0,0.64,0.36,16.0,10.0,4.0,1.0,0,12,7.0,1 - 1
Delfin,Orense SC,2024-05-12,4,2,0.0,0.0,0.44,0.56,20.0,13.0,3.0,2.0,9,15,6.0,0 - 1
El Nacional,Independiente del Valle,2024-05-12,2,2,0.0,0.0,0.3,0.7,12.0,7.0,5.0,4.0,2,7,4.0,1 - 2
LDU de Quito,Emelec,2024-05-11,2,5,0.0,1.0,0.56,0.43,7.0,11.0,12.0,5.0,5,4,8.0,2 - 2
CSD Macara,Mushuc Runa SC,2024-05-11,2,3,0.0,1.0,0.52,0.48,10.0,14.0,2.0,7.0,14,6,6.0,0 - 0
Deportivo Cuenca,Cumbayá,2024-05-10,2,1,0.0,0.0,0.53,0.47,12.0,10.0,4.0,2.0,10,19,3.0,2 - 1
CD Tecnico Universitario,Imbabura,2024-05-06,3,2,0.0,0.0,0.48,0.52,15.0,16.0,4.0,6.0,8,21,5.0,1 - 1
Emelec,Universidad Catolica,2024-05-05,4,3,0.0,0.0,0.37,0.63,14.0,6.0,2.0,4.0,4,13,7.0,2 - 1
Independiente del Valle,Deportivo Cuenca,2024-05-05,1,2,0.0,0.0,0.62,0.38,12.0,10.0,9.0,2.0,7,10,3.0,1 - 0
Aucas,Libertad,2024-05-05,0,1,0.0,0.0,0.56,0.44,10.0,13.0,4.0,3.0,12,20,1.0,2 - 0
Delfin,Barcelona SC,2024-05-04,2,2,1.0,1.0,0.34,0.66,14.0,18.0,6.0,4.0,9,0,6.0,1 - 3
Mushuc Runa SC,LDU de Quito,2024-05-04,3,4,0.0,1.0,0.53,0.47,15.0,19.0,2.0,3.0,6,5,8.0,0 - 1
Cumbayá,CSD Macara,2024-05-04,3,5,0.0,1.0,0.52,0.48,15.0,17.0,4.0,5.0,19,14,9.0,1 - 0
Orense SC,El Nacional,2024-05-03,4,3,0.0,0.0,0.6,0.4,9.0,10.0,3.0,8.0,15,2,7.0,0 - 1
Universidad Catolica,Barcelona SC,2024-05-01,1,2,1.0,0.0,0.44,0.56,10.0,13.0,4.0,5.0,13,0,4.0,0 - 1
Libertad,LDU de Quito,2024-04-30,1,2,0.0,0.0,0.57,0.43,11.0,14.0,7.0,3.0,20,5,3.0,2 - 3
El Nacional,Delfin,2024-04-29,2,3,0.0,0.0,0.65,0.35,22.0,11.0,4.0,2.0,2,9,5.0,1 - 0
CSD Macara,Aucas,2024-04-28,6,3,1.0,0.0,0.45,0.55,16.0,12.0,3.0,4.0,14,12,10.0,0 - 2
Imbabura,Independiente del Valle,2024-04-28,3,1,0.0,0.0,0.5,0.5,11.0,14.0,4.0,1.0,21,7,4.0,0 - 1
LDU de Quito,CD Tecnico Universitario,2024-04-27,4,1,1.0,1.0,0.6,0.4,12.0,6.0,5.0,1.0,5,8,7.0,1 - 0
Libertad,Orense SC,2024-04-27,2,2,0.0,0.0,0.62,0.38,16.0,9.0,2.0,6.0,20,15,4.0,1 - 1
Universidad Catolica,Cumbayá,2024-04-27,1,0,0.0,0.0,0.56,0.43,13.0,14.0,6.0,3.0,13,19,1.0,2 - 1
Orense SC,LDU de Quito,2024-04-19,4,4,0.0,0.0,0.34,0.66,11.0,9.0,6.0,2.0,15,5,8.0,1 - 0
Delfin,CSD Macara,2024-04-19,1,4,1.0,0.0,0.38,0.62,14.0,18.0,2.0,5.0,9,14,6.0,1 - 1
Barcelona SC,El Nacional,2024-04-18,4,4,0.0,0.0,0.69,0.31,14.0,23.0,2.0,1.0,0,2,8.0,1 - 0
Independiente del Valle,Mushuc Runa SC,2024-04-18,2,1,0.0,0.0,0.56,0.43,12.0,8.0,6.0,5.0,7,6,3.0,2 - 1
Imbabura,Universidad Catolica,2024-04-18,2,5,0.0,0.0,0.36,0.64,11.0,7.0,4.0,5.0,21,13,7.0,2 - 2
CD Tecnico Universitario,Deportivo Cuenca,2024-04-17,1,2,0.0,0.0,0.6,0.4,9.0,12.0,4.0,4.0,8,10,3.0,2 - 1
Cumbayá,Libertad,2024-04-17,1,3,0.0,0.0,0.5,0.5,16.0,14.0,2.0,4.0,19,20,4.0,0 - 0
LDU de Quito,Delfin,2024-04-15,0,3,1.0,0.0,0.65,0.35,12.0,12.0,4.0,2.0,5,9,4.0,2 - 1
Libertad,Barcelona SC,2024-04-14,2,1,0.0,0.0,0.53,0.47,22.0,21.0,3.0,6.0,20,0,3.0,0 - 3
El Nacional,Imbabura,2024-04-14,2,2,0.0,0.0,0.5,0.5,18.0,7.0,6.0,4.0,2,21,4.0,2 - 0
Universidad Catolica,Independiente del Valle,2024-04-14,1,5,0.0,0.0,0.55,0.45,13.0,9.0,3.0,8.0,13,7,6.0,2 - 2
Emelec,Cumbayá,2024-04-13,3,3,0.0,0.0,0.56,0.43,13.0,12.0,5.0,4.0,4,19,6.0,2 - 0
CSD Macara,Orense SC,2024-04-13,3,4,0.0,0.0,0.56,0.44,19.0,19.0,3.0,1.0,14,15,7.0,0 - 0
Mushuc Runa SC,CD Tecnico Universitario,2024-04-13,2,2,0.0,0.0,0.42,0.57,10.0,13.0,4.0,4.0,6,8,4.0,1 - 2
Deportivo Cuenca,Aucas,2024-04-12,2,2,0.0,0.0,0.41,0.59,12.0,11.0,5.0,4.0,10,12,4.0,3 - 3
Imbabura,CSD Macara,2024-04-08,5,3,0.0,0.0,0.62,0.38,17.0,15.0,3.0,3.0,21,14,8.0,0 - 1
CD Tecnico Universitario,Emelec,2024-04-07,4,2,1.0,0.0,0.43,0.56,15.0,9.0,5.0,3.0,8,4,7.0,1 - 1
Delfin,Universidad Catolica,2024-04-07,1,2,0.0,0.0,0.32,0.68,11.0,4.0,2.0,6.0,9,13,3.0,0 - 2
Independiente del Valle,Libertad,2024-04-07,3,2,0.0,0.0,0.62,0.38,13.0,13.0,7.0,2.0,7,20,5.0,3 - 0
Barcelona SC,Deportivo Cuenca,2024-04-06,1,3,0.0,0.0,0.55,0.45,15.0,10.0,9.0,2.0,0,10,4.0,4 - 0
El Nacional,LDU de Quito,2024-04-06,2,4,1.0,0.0,0.4,0.6,9.0,21.0,3.0,2.0,2,5,7.0,1 - 2
Aucas,Cumbayá,2024-04-06,1,3,0.0,0.0,0.52,0.48,13.0,15.0,6.0,2.0,12,19,4.0,3 - 0
