local,visitante,fecha,tarjetas_amarillas_local,tarjetas_amarillas_visitante,tarjetas_rojas_local,tarjetas_rojas_visitante,posesion_local,posesion_visitante,faltas_local,faltas_visitante,tiros_a_puerta_local,tiros_a_puerta_visitante,local_encoded,visitante_encoded,tarjetas_totales,score
Guayaquil City,Orense SC,2020-10-26,2,3,0.0,0.0,0.56,0.44,17.0,24.0,5.0,5.0,11,15,5.0,1 - 1
LDU Portoviejo,Barcelona SC,2020-10-25,5,1,0.0,1.0,0.5,0.5,18.0,13.0,8.0,4.0,3,0,7.0,0 - 2
CD Olmedo,Independiente del Valle,2020-10-25,1,3,0.0,0.0,0.44,0.56,17.0,14.0,6.0,3.0,1,7,4.0,2 - 1
LDU de Quito,El Nacional,2020-10-25,0,3,0.0,0.0,0.52,0.48,8.0,16.0,5.0,5.0,5,2,3.0,1 - 0
CD Tecnico Universitario,Delfin,2020-10-24,1,4,0.0,0.0,0.5,0.5,15.0,17.0,5.0,3.0,8,9,5.0,1 - 1
Emelec,CSD Macara,2020-10-24,2,3,0.0,0.0,0.66,0.34,19.0,23.0,2.0,7.0,4,14,5.0,0 - 0
Universidad Catolica,Deportivo Cuenca,2020-10-23,1,3,0.0,1.0,0.75,0.25,22.0,16.0,2.0,5.0,13,10,5.0,0 - 1
Deportivo Cuenca,LDU Portoviejo,2020-10-19,2,1,0.0,1.0,0.54,0.46,22.0,18.0,3.0,3.0,10,3,4.0,2 - 1
Guayaquil City,Emelec,2020-10-19,4,2,0.0,0.0,0.46,0.54,11.0,21.0,3.0,5.0,11,4,6.0,1 - 0
Orense SC,Universidad Catolica,2020-10-18,3,1,0.0,0.0,0.38,0.62,19.0,18.0,4.0,10.0,15,13,4.0,1 - 1
Independiente del Valle,LDU de Quito,2020-10-17,1,5,0.0,1.0,0.58,0.42,21.0,13.0,6.0,3.0,7,5,7.0,3 - 2
Aucas,CD Tecnico Universitario,2020-10-17,5,2,0.0,0.0,0.56,0.44,20.0,17.0,4.0,3.0,12,8,7.0,2 - 1
LDU Portoviejo,El Nacional,2020-10-15,2,2,0.0,0.0,0.52,0.48,12.0,14.0,3.0,8.0,3,2,4.0,3 - 0
CD Olmedo,Guayaquil City,2020-10-15,2,2,1.0,0.0,0.52,0.48,13.0,10.0,4.0,4.0,1,11,5.0,1 - 2
CD Tecnico Universitario,Barcelona SC,2020-10-14,2,3,0.0,0.0,0.54,0.46,22.0,12.0,4.0,4.0,8,0,5.0,0 - 2
Delfin,Aucas,2020-10-14,1,0,0.0,0.0,0.57,0.43,15.0,5.0,5.0,5.0,9,12,1.0,2 - 2
Mushuc Runa SC,Independiente del Valle,2020-10-14,2,3,0.0,0.0,0.51,0.49,9.0,16.0,10.0,7.0,6,7,5.0,3 - 2
CSD Macara,Delfin,2020-10-04,2,1,0.0,0.0,0.48,0.52,19.0,15.0,7.0,3.0,14,9,3.0,5 - 1
Orense SC,Independiente del Valle,2020-10-03,3,3,0.0,0.0,0.5,0.5,13.0,14.0,3.0,7.0,15,7,6.0,1 - 3
LDU de Quito,Mushuc Runa SC,2020-10-03,4,1,0.0,0.0,0.54,0.46,15.0,21.0,8.0,0.0,5,6,5.0,2 - 0
Aucas,LDU Portoviejo,2020-10-02,3,0,0.0,0.0,0.53,0.47,18.0,7.0,8.0,5.0,12,3,3.0,4 - 1
Guayaquil City,El Nacional,2020-09-30,5,5,0.0,0.0,0.48,0.52,17.0,24.0,2.0,3.0,11,2,10.0,2 - 1
LDU Portoviejo,CSD Macara,2020-09-28,4,6,0.0,0.0,0.47,0.53,24.0,24.0,6.0,5.0,3,14,10.0,2 - 2
CD Tecnico Universitario,LDU de Quito,2020-09-27,3,1,0.0,0.0,0.37,0.63,16.0,17.0,2.0,9.0,8,5,4.0,0 - 5
Independiente del Valle,Barcelona SC,2020-09-27,1,2,0.0,0.0,0.54,0.46,18.0,12.0,5.0,3.0,7,0,3.0,1 - 1
